LAYOUT PESQUISA ORIGEM DESTINO 2007;;; ;;;
;Variável;Conteúdo;Início;Fim;Compr;Códigos
;;;;;;
1;ZONA;Zona do Domicílio;1;3;3;1 a 460
2;MUNI_DOM;Município  de Domicílio;4;5;2;1 a 39
3;CO_DOM_X;Coordenada X Domicílio;6;17;12;12 dígitos 2 casas decimais
4;CO_DOM_Y;Coordenada Y Domicílio;18;29;12;12 dígitos 2 casas decimais
5;ID_DOM;Identifica Domicílio;30;36;7;
6;F_DOM;Identifica Primeiro Registro do Domicílio;37;37;1;0 - Demais Registros
;;;;;;1- Primeiro Registro do Domicílio
7;FE_DOM;Fator de Expansão do Domicílio;38;47;10;10 dígitos 5 casas decimais
8;DOM ;Número do Domicílio;48;51;4;
9;CD_ENTRE;Código de Entrevista;52;52;1;5 - Completa sem Viagem 
;;;;;;6 - Completa com Viagem
10;DATA;Data da Entrevista;53;60;8;
11;TIPO_DOM;Tipo de Domicílio;61;61;1;1 – Particular
;;;;;;2 – Coletivo
;;;;;;3 – Favela
12;NO_MORAD;Total de Moradores no Domicílio;62;63;2;
13;TOT_FAM;Total de Familias no Domicílio;64;65;2;
14;ID_FAM;Identifica Família;66;74;9;
15;F_FAM;Identifica Primeiro Registro da Família;75;75;1;0 - Demais Registros
;;;;;;1- Primeiro Registro da Família
16;FE_FAM;Fator de Expansão da Família;76;85;10;10 dígitos 5 casas decimais
17;FAMILIA;Número da Família;86;87;2;
18;NO_MORAF;Total de Moradores na Família;88;89;2;
19;CONDMORA;Condição de Moradia;90;90;1;1 - Alugada
;;;;;;2 - Própria
;;;;;;3 - Cedida
;;;;;;4 - Outros
;;;;;;5 - Não Respondeu
20;QT_RADIO;Rádios;91;91;1;
21;QT_GEL1;Geladeiras de 1 porta;92;92;1;
22;QT_GEL2;Geladeiras de 2 portas;93;93;1;
23;QT_TVCOR;Tv. a Cores;94;94;1;
24;QT_FREEZ;Freezer;95;95;1;
25;QT_VIDEO;Vídeo Cassetes/DVD;96;96;1;
26;QT_BANHO;Banheiros;97;97;1;
27;QT_MOTO;Motos;98;98;1;
28;QT_AUTO;Automóveis;99;99;1;
29;QT_ASPIR;Aspiradores de Pó;100;100;1;
30;QT_MLAVA;Máquinas de Lavar;101;101;1;
31;QT_EMPRE;Empregados Domésticos;102;102;1;
32;QT_MICRO;Microcomputadores;103;103;1;
33;QT_BICICLE;Bicicletas;104;104;1;
34;NAO_DCL_IT;Código de Declaração de Itens de Conforto;105;105;1;
35;CRITERIO_B;Critério de Classificação Econômica Brasil;106;106;1;1 – A1
;;;;;;2 – A2
;;;;;;3 – B1
;;;;;;4 – B2
;;;;;;5 – C1
;;;;;;6 – C2
;;;;;;7 – D 
;;;;;;8 – E
36;ANO_AUTO1;Ano Fabricação - Auto 1;107;110;4;
37;ANO_AUTO2;Ano Fabricação - Auto 2;111;114;4;
38;ANO_AUTO3;Ano Fabricação - Auto 3;115;118;4;
39;RENDA_FA;Renda Familiar;119;126;8;8 dígitos 2 casa decimais
40;CD_RENFA;Código de Renda Familiar;127;127;1;1 - Renda Familiar Declarada e Maior que Zero
;;;;;;2 – Renda Familiar Declarada como Zero
;;;;;;3 - Renda Atribuída pelo Critério Brasil
;;;;;;4 - Renda Atribuída pela Média da Zona
41;ID_PESS;Identifica Pessoa;128;139;12;
42;F_PESS;Identifica Primeiro Registro da Pessoa;140;140;1;0 - Demais registros
;;;;;;1- Primeiro registro da pessoa
43;FE_PESS;Fator de Expansão da Pessoa;141;150;10;10 dígitos 5 casas decimais
44;PESSOA;Número da Pessoa;151;152;2;
45;SIT_FAM;Situação Familiar;153;153;1;1 – Pessoa Responsável
;;;;;;2 – Cônjuge/Companheiro(a)
;;;;;;3 – Filho(a)/Enteado(a)
;;;;;;4 - Outro Parente
;;;;;;5 - Agregado
;;;;;;6 - Empregado Residente
;;;;;;7 - Parente do Empregado 
46;IDADE;Idade;154;155;2;(anos)
47;SEXO;Gênero;156;156;1;1 - Masculino
;;;;;;2 - Feminino
48;ESTUDA;Estuda Atualmente?;157;157;1;1 - Não
;;;;;;2 - Creche/Pré-Escola
;;;;;;3 - 1º Grau /Fundamental
;;;;;;4 - 2º Grau/Médio
;;;;;;6 – Superior/Universitário
;;;;;;7 - Outros
49;GRAU_INS;Grau de Instrução;158;158;1;1 - Não-Alfabetizado/Primário Incompleto
;;;;;;2 - Primário Completo/Ginásio Incompleto
;;;;;;3 - Ginásio Completo/Colegial Incompleto
;;;;;;4 - Colegial Completo/Superior Incompleto
;;;;;;5 - Superior Completo
50;CD_ATIVI;Condição de Atividade;159;159;1;1 - Tem trabalho
;;;;;;2 - Faz bico
;;;;;;3 - Em Licença Médica
;;;;;;4 - Aposentado/Pensionista
;;;;;;5 - Sem Trabalho
;;;;;;6 - Nunca Trabalhou
;;;;;;7 - Dona de Casa
;;;;;;8 - Estudante
51;CO_REN_I;Condição de Renda Individual;160;160;1;1 - Tem Renda
;;;;;;2 - Não Tem Renda
;;;;;;3 - Não Respondeu
52;VL_REN_I;Renda Individual;161;168;8;8 dígitos
53;ZONA_ESC;Zona da Escola;169;171;3;1 a 460
54;MUNIESC;Município da Escola;172;173;2;
55;CO_ESC_X;Coordenada X Escola;174;185;12;12 dígitos 2 casas decimais
56;CO_ESC_Y;Coordenada Y Escola;186;197;12;12 dígitos 2 casas decimais
57;TIPO_ESC;Tipo de Escola;198;198;1;1 - Pública
;;;;;;2 - Particular
58;ZONATRA1;Zona do Primeiro Trabalho;199;201;3;1 a 460
59;MUNITRA1;Município do Primeiro Trabalho;202;203;2;1 a 39
60;CO_TR1_X;Coordenada X 1º Trabalho;204;215;12;12 dígitos 2 casas decimais
61;CO_TR1_Y;Coordenada Y 1º Trabalho;216;227;12;12 dígitos 2 casas decimais
