################################################################################
# Collectl:   V3.7.4-1  HiRes: 1  Options: -scmsd -i 5 -R 1500s -oDm -P -f/tmp 
# Host:       resource-cataloguer  DaemonOpts: 
# Booted:     1479306118.49 [20161116-14:21:58]
# Distro:     debian 8.6  Platform: Droplet
# Date:       20161116-144301  Secs: 1479307381 TZ: +0000
# SubSys:     cmsd Options: Dm Interval: 5 NumCPUs: 1  NumBud: 0 Flags: i
# Filters:    NfsFilt:  EnvFilt:  TcpFilt: ituc
# HZ:         100  Arch: x86_64-linux-gnu-thread-multi PageSize: 4096
# Cpu:        GenuineIntel Speed(MHz): 2399.998 Cores: 1  Siblings: 1 Nodes: 1
# Kernel:     3.16.0-4-amd64  Memory: 1024436 kB  Swap: 0 kB
# NumDisks:   1 DiskNames: vda
# NumNets:    6 NetNames: lo:?? vethc5e0334:10000 eth1:?? docker0:?? veth5a661be:10000 eth0:??
################################################################################
#Date Time [CPU]User% [CPU]Nice% [CPU]Sys% [CPU]Wait% [CPU]Irq% [CPU]Soft% [CPU]Steal% [CPU]Idle% [CPU]Totl% [CPU]Guest% [CPU]GuestN% [CPU]Intrpt/sec [CPU]Ctx/sec [CPU]Proc/sec [CPU]ProcQue [CPU]ProcRun [CPU]L-Avg1 [CPU]L-Avg5 [CPU]L-Avg15 [CPU]RunTot [CPU]BlkTot [MEM]Tot [MEM]Used [MEM]Free [MEM]Shared [MEM]Buf [MEM]Cached [MEM]Slab [MEM]Map [MEM]Anon [MEM]Commit [MEM]Locked [MEM]SwapTot [MEM]SwapUsed [MEM]SwapFree [MEM]SwapIn [MEM]SwapOut [MEM]Dirty [MEM]Clean [MEM]Laundry [MEM]Inactive [MEM]PageIn [MEM]PageOut [MEM]PageFaults [MEM]PageMajFaults [MEM]HugeTotal [MEM]HugeFree [MEM]HugeRsvd [MEM]SUnreclaim [SOCK]Used [SOCK]Tcp [SOCK]Orph [SOCK]Tw [SOCK]Alloc [SOCK]Mem [SOCK]Udp [SOCK]Raw [SOCK]Frag [SOCK]FragMem [DSK]ReadTot [DSK]WriteTot [DSK]OpsTot [DSK]ReadKBTot [DSK]WriteKBTot [DSK]KbTot [DSK]ReadMrgTot [DSK]WriteMrgTot [DSK]MrgTot
20161116 14:43:07.001 0 0 0 0 0 0 0 100 0 0 0 10 22 0 137 0 0.11 0.07 0.10 0 0 1024436 901764 122672 0 40996 563992 114088 99540 164864 750280 0 0 0 0 0 0 472 0 0 286968 0 14 4 0 0 0 0 15012 126 5 0 2 17 0 0 0 0 0 0 3 3 0 14 14 0 0 0
20161116 14:43:12.001 0 0 0 0 0 0 0 100 0 0 0 14 26 0 137 1 0.10 0.07 0.10 0 0 1024436 901756 122680 0 40996 564008 114048 99540 164888 750280 0 0 0 0 0 0 440 0 0 286976 0 10 13 0 0 0 0 14968 126 5 0 2 17 0 0 0 0 0 0 1 1 0 10 10 0 0 0
20161116 14:43:17.001 0 0 0 0 0 0 0 100 0 0 0 11 23 0 137 0 0.09 0.06 0.10 0 0 1024436 901748 122688 0 41004 564008 114024 99540 164900 750280 0 0 0 0 0 0 448 0 0 286976 0 6 0 0 0 0 0 14944 126 5 0 2 17 0 0 0 0 0 0 2 2 0 6 6 0 0 0
20161116 14:43:22.001 0 0 0 0 0 0 0 100 0 0 0 16 31 0 137 0 0.08 0.06 0.10 0 0 1024436 901716 122720 0 41004 564008 113992 99540 164900 750280 0 0 0 0 0 0 448 0 0 286976 0 0 0 0 0 0 0 14916 126 5 0 2 17 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20161116 14:43:27.002 0 0 0 0 0 0 0 99 0 0 0 14 27 0 137 0 0.08 0.06 0.10 0 0 1024436 901716 122720 0 41012 564008 114052 99540 164908 750280 0 0 0 0 0 0 136 0 0 286976 0 65 1 0 0 0 0 14980 126 5 0 2 17 0 0 0 0 0 0 14 14 0 65 65 0 1 1
20161116 14:43:32.001 0 0 0 0 0 0 0 100 0 0 0 15 31 0 137 0 0.07 0.06 0.10 0 0 1024436 901908 122528 0 41020 564008 114060 99540 164908 750280 0 0 0 0 0 0 88 0 0 286980 0 35 1 0 0 0 0 14972 126 5 0 2 17 0 0 0 0 0 0 4 4 0 35 35 0 0 0
20161116 14:43:37.001 1 0 0 0 0 0 0 98 2 0 0 32 60 0 137 1 0.06 0.06 0.10 0 0 1024436 902056 122380 0 41028 564108 114100 99548 164908 754300 0 0 0 0 0 0 212 0 0 287080 18 6 98 0 0 0 0 15012 126 5 0 2 17 0 0 0 0 0 1 2 3 18 6 24 0 0 0
20161116 14:43:42.001 0 0 0 0 0 0 0 99 1 0 0 15 28 0 137 0 0.06 0.06 0.10 0 0 1024436 902044 122392 0 41036 564100 114052 99548 164912 754300 0 0 0 0 0 0 192 0 0 287080 0 10 0 0 0 0 0 14968 126 5 0 1 17 1 0 0 0 0 0 2 2 0 10 10 0 0 0
20161116 14:43:47.001 0 0 0 0 0 0 0 100 0 0 0 10 21 0 137 0 0.05 0.06 0.10 0 0 1024436 902036 122400 0 41036 564108 114016 99548 164912 754300 0 0 0 0 0 0 200 0 0 287080 0 0 0 0 0 0 0 14936 126 5 0 1 17 1 0 0 0 0 0 0 0 0 0 0 0 0 0
20161116 14:43:52.001 0 0 0 0 0 0 0 100 0 0 0 14 27 0 137 0 0.05 0.06 0.10 0 0 1024436 902036 122400 0 41036 564108 113988 99548 164920 754300 0 0 0 0 0 0 200 0 0 287080 0 0 1 0 0 0 0 14908 126 5 0 0 17 2 0 0 0 0 0 0 0 0 0 0 0 0 0
20161116 14:43:57.001 0 0 0 0 0 0 0 100 0 0 0 10 21 0 137 0 0.05 0.06 0.10 0 0 1024436 902036 122400 0 41036 564108 113972 99548 164920 754300 0 0 0 0 0 0 200 0 0 287080 0 0 0 0 0 0 0 14896 126 5 0 0 17 2 0 0 0 0 0 0 0 0 0 0 0 0 0
20161116 14:44:02.001 2 0 1 0 0 0 0 97 3 0 0 23 53 0 137 0 0.04 0.06 0.10 0 0 1024436 902156 122280 0 41036 564108 114012 99548 164924 754300 0 0 0 0 0 0 128 0 0 287076 0 12 100 0 0 0 0 14920 126 5 0 0 17 2 0 0 0 0 0 3 3 0 12 12 0 0 0
