starttime	seconds	ctime	dtime	ttime	wait
Mon Dec 05 20:34:59 2016	1480970099	0	2	3	2
Mon Dec 05 20:33:29 2016	1480970009	0	2	3	2
Mon Dec 05 20:34:49 2016	1480970089	0	2	3	2
Mon Dec 05 20:34:50 2016	1480970090	0	2	3	2
Mon Dec 05 20:34:50 2016	1480970090	0	2	3	2
Mon Dec 05 20:33:32 2016	1480970012	0	2	3	2
Mon Dec 05 20:33:31 2016	1480970011	0	2	3	2
Mon Dec 05 20:34:56 2016	1480970096	0	2	3	2
Mon Dec 05 20:34:56 2016	1480970096	0	2	3	2
Mon Dec 05 20:33:27 2016	1480970007	0	2	3	2
Mon Dec 05 20:34:50 2016	1480970090	0	2	3	2
Mon Dec 05 20:34:56 2016	1480970096	0	2	3	2
Mon Dec 05 20:34:50 2016	1480970090	0	2	3	2
Mon Dec 05 20:34:57 2016	1480970097	0	2	3	2
Mon Dec 05 20:33:27 2016	1480970007	0	2	3	2
Mon Dec 05 20:34:57 2016	1480970097	0	2	3	2
Mon Dec 05 20:34:57 2016	1480970097	0	2	3	2
Mon Dec 05 20:34:50 2016	1480970090	0	2	3	2
Mon Dec 05 20:34:56 2016	1480970096	0	2	3	2
Mon Dec 05 20:34:56 2016	1480970096	0	2	3	2
Mon Dec 05 20:34:56 2016	1480970096	0	2	3	2
Mon Dec 05 20:33:29 2016	1480970009	0	2	3	2
Mon Dec 05 20:34:49 2016	1480970089	0	2	3	2
Mon Dec 05 20:33:29 2016	1480970009	0	2	3	2
Mon Dec 05 20:34:56 2016	1480970096	0	2	3	2
Mon Dec 05 20:34:57 2016	1480970097	0	2	3	2
Mon Dec 05 20:34:56 2016	1480970096	0	2	3	2
Mon Dec 05 20:33:28 2016	1480970008	0	2	3	2
Mon Dec 05 20:34:51 2016	1480970091	0	2	3	2
Mon Dec 05 20:33:30 2016	1480970010	0	2	3	2
Mon Dec 05 20:34:50 2016	1480970090	0	2	3	2
Mon Dec 05 20:33:30 2016	1480970010	0	2	3	2
Mon Dec 05 20:33:30 2016	1480970010	0	2	3	2
