################################################################################
# Collectl:   V3.7.4-1  HiRes: 1  Options: -scmsd -i 5 -R 1200s -oDm -P -f/tmp 
# Host:       data-collector  DaemonOpts: 
# Booted:     1479330564.83 [20161116-21:09:24]
# Distro:     debian 8.6  Platform: Droplet
# Date:       20161116-212039  Secs: 1479331239 TZ: +0000
# SubSys:     cmsd Options: Dm Interval: 5 NumCPUs: 1  NumBud: 0 Flags: i
# Filters:    NfsFilt:  EnvFilt:  TcpFilt: ituc
# HZ:         100  Arch: x86_64-linux-gnu-thread-multi PageSize: 4096
# Cpu:        GenuineIntel Speed(MHz): 2399.998 Cores: 1  Siblings: 1 Nodes: 1
# Kernel:     3.16.0-4-amd64  Memory: 1024436 kB  Swap: 0 kB
# NumDisks:   1 DiskNames: vda
# NumNets:    8 NetNames: vethb2976c2:10000 veth922dbe2:10000 lo:?? vethe7886d7:10000 veth6d4dec3:10000 eth1:?? docker0:?? eth0:??
################################################################################
#Date Time [CPU]User% [CPU]Nice% [CPU]Sys% [CPU]Wait% [CPU]Irq% [CPU]Soft% [CPU]Steal% [CPU]Idle% [CPU]Totl% [CPU]Guest% [CPU]GuestN% [CPU]Intrpt/sec [CPU]Ctx/sec [CPU]Proc/sec [CPU]ProcQue [CPU]ProcRun [CPU]L-Avg1 [CPU]L-Avg5 [CPU]L-Avg15 [CPU]RunTot [CPU]BlkTot [MEM]Tot [MEM]Used [MEM]Free [MEM]Shared [MEM]Buf [MEM]Cached [MEM]Slab [MEM]Map [MEM]Anon [MEM]Commit [MEM]Locked [MEM]SwapTot [MEM]SwapUsed [MEM]SwapFree [MEM]SwapIn [MEM]SwapOut [MEM]Dirty [MEM]Clean [MEM]Laundry [MEM]Inactive [MEM]PageIn [MEM]PageOut [MEM]PageFaults [MEM]PageMajFaults [MEM]HugeTotal [MEM]HugeFree [MEM]HugeRsvd [MEM]SUnreclaim [SOCK]Used [SOCK]Tcp [SOCK]Orph [SOCK]Tw [SOCK]Alloc [SOCK]Mem [SOCK]Udp [SOCK]Raw [SOCK]Frag [SOCK]FragMem [DSK]ReadTot [DSK]WriteTot [DSK]OpsTot [DSK]ReadKBTot [DSK]WriteKBTot [DSK]KbTot [DSK]ReadMrgTot [DSK]WriteMrgTot [DSK]MrgTot
20161116 21:20:45.002 84 0 12 0 0 4 0 0 100 0 0 784 4823 11 218 7 0.96 0.46 0.19 5 0 1024436 931888 92548 0 21416 495160 77568 89084 316472 1175504 0 0 0 0 0 0 2932 0 0 233500 0 678 66 0 0 0 0 17376 217 5 0 3 80 24 0 0 0 0 0 86 86 0 678 678 0 3 3
20161116 21:20:50.006 86 0 10 0 0 3 0 0 100 0 0 722 4409 11 217 8 1.13 0.51 0.21 8 0 1024436 934016 90420 0 21424 496220 77540 89140 317484 1175504 0 0 0 0 0 0 3808 0 0 233556 0 585 69 0 0 0 0 17356 217 5 0 0 80 27 0 0 0 0 0 71 71 0 585 585 0 0 0
20161116 21:20:55.002 87 0 9 0 0 3 0 0 100 0 0 726 4525 11 217 7 1.28 0.55 0.22 5 0 1024436 935672 88764 0 21436 497376 77504 89228 318036 1175504 0 0 0 0 0 0 4716 0 0 233636 1 626 38 0 0 0 0 17344 217 5 0 0 80 32 0 0 0 0 0 75 75 1 626 627 0 0 0
20161116 21:21:00.001 88 0 8 0 0 3 0 0 100 0 0 707 4422 11 217 2 1.50 0.60 0.25 2 0 1024436 937628 86808 0 21444 498608 77528 89348 318876 1179712 0 0 0 0 0 0 880 0 0 233692 0 1621 189 0 0 0 0 17368 217 5 0 0 80 27 0 0 0 0 0 84 84 0 1621 1621 0 0 0
20161116 21:21:05.002 86 0 11 0 0 3 0 0 100 0 0 754 4566 11 217 5 1.62 0.64 0.26 4 0 1024436 953592 70844 0 21452 485056 77552 89428 348196 1179712 0 0 0 0 0 0 1168 0 0 235620 0 664 1473 0 0 0 0 17356 217 5 0 0 80 30 0 0 0 0 0 69 69 0 664 664 0 0 0
20161116 21:21:10.005 87 0 10 0 0 3 0 0 100 0 0 769 4857 11 217 8 1.73 0.68 0.27 8 0 1024436 959284 65152 0 21460 486200 77552 89484 352868 1179712 0 0 0 0 0 0 1900 0 0 235668 0 692 241 0 0 0 0 17352 217 5 0 0 80 32 0 0 0 0 0 85 85 0 692 692 0 0 0
20161116 21:21:15.002 87 0 9 0 0 3 0 0 100 0 0 700 4478 10 217 5 1.99 0.75 0.30 4 0 1024436 962488 61948 0 21468 487400 77576 89564 354824 1179712 0 0 0 0 0 0 2876 0 0 235744 0 655 106 0 0 0 0 17368 217 5 0 0 80 19 0 0 0 0 0 79 79 0 655 655 0 0 0
20161116 21:21:20.001 85 0 11 0 0 4 0 0 100 0 0 641 4072 11 217 2 2.07 0.79 0.31 2 0 1024436 949932 74504 0 21476 473848 77568 89620 355728 1179712 0 0 0 0 0 0 3696 0 0 236552 0 659 53 0 0 0 0 17356 217 5 0 0 80 18 0 0 0 0 0 81 81 0 659 659 0 1 1
20161116 21:21:25.002 86 0 10 0 0 3 0 0 100 0 0 771 4666 10 217 2 2.06 0.81 0.32 1 1 1024436 952540 71896 0 21484 474924 77568 89708 357260 1179712 0 0 0 0 0 0 4604 0 0 236608 0 594 470 0 0 0 0 17352 217 5 0 0 80 18 0 0 0 0 0 71 71 0 593 593 0 0 0
20161116 21:21:30.006 86 0 10 0 0 4 0 0 100 0 0 765 4641 10 217 7 2.22 0.86 0.34 6 0 1024436 954664 69772 0 21492 476028 77588 89796 358352 1179712 0 0 0 0 0 0 436 0 0 236696 0 1633 163 0 0 0 0 17372 217 5 0 0 80 23 0 0 0 0 0 78 78 0 1635 1635 0 0 0
20161116 21:21:35.001 90 0 9 0 0 2 0 0 100 0 0 479 3192 11 217 3 2.28 0.90 0.36 3 0 1024436 957372 67064 0 21500 477280 77592 89844 359700 1179712 0 0 0 0 0 0 1468 0 0 236744 0 718 75 0 0 0 0 17364 217 5 0 0 80 9 0 0 0 0 0 87 87 0 718 718 0 0 0
20161116 21:21:40.001 88 0 9 0 0 2 0 0 100 0 0 369 2536 10 217 4 2.42 0.95 0.38 4 0 1024436 958736 65700 0 21508 478620 77580 89924 359720 1179712 0 0 0 0 0 0 2152 0 0 236824 0 829 10 0 0 0 0 17356 217 5 0 0 80 10 0 0 0 0 0 90 90 0 829 829 0 0 0
20161116 21:21:45.001 89 0 8 0 0 3 0 0 100 0 0 370 2535 10 217 3 2.47 0.99 0.39 3 0 1024436 960104 64332 0 21516 480004 77584 90028 359776 1179712 0 0 0 0 0 0 3224 0 0 236928 0 731 14 0 0 0 0 17352 217 5 0 0 80 12 0 0 0 0 0 88 88 0 731 731 0 0 0
20161116 21:21:50.007 90 0 8 0 0 2 0 0 100 0 0 366 2504 10 217 4 2.59 1.04 0.41 4 0 1024436 961436 63000 0 21524 481240 77580 90076 359792 1179712 0 0 0 0 0 0 4260 0 0 236968 0 722 8 0 0 0 0 17352 217 5 0 0 80 14 0 0 0 0 0 87 87 0 722 722 0 0 0
20161116 21:21:55.001 88 0 9 0 0 2 0 0 100 0 0 368 2543 11 217 2 2.62 1.07 0.42 2 0 1024436 962832 61604 0 21532 482568 77584 90156 359832 1179712 0 0 0 0 0 0 5236 0 0 237048 0 741 12 0 0 0 0 17352 217 5 0 0 80 22 0 0 0 0 0 90 90 0 741 741 0 0 0
20161116 21:22:00.001 86 0 11 0 0 2 0 0 100 0 0 348 2098 11 218 2 2.73 1.12 0.44 2 0 1024436 949104 75332 0 21540 468884 77612 90220 359840 1179712 0 0 0 0 0 0 6124 0 0 232300 0 567 197 0 0 0 0 17372 217 5 0 0 80 20 0 0 0 0 0 70 70 0 567 567 0 0 0
20161116 21:22:05.002 89 0 8 0 0 2 0 0 100 0 0 353 2253 10 217 2 2.75 1.15 0.46 2 0 1024436 950356 74080 0 21548 470020 77600 90300 359860 1179712 0 0 0 0 0 0 444 0 0 232380 0 1930 10 0 0 0 0 17356 217 5 0 0 80 19 0 0 0 0 0 77 77 0 1930 1930 0 0 0
20161116 21:22:10.003 88 0 9 0 0 3 0 0 100 0 0 369 2541 11 217 4 2.77 1.18 0.47 4 0 1024436 951728 72708 0 21556 471368 77584 90356 359900 1179712 0 0 0 0 0 0 1488 0 0 232436 0 753 13 0 0 0 0 17352 217 5 0 0 80 21 0 0 0 0 0 89 89 0 753 753 0 0 0
